Date,Open,High,Low,Close,Volume,- SPREAD -
03-08-2021,80650.00,81135.80,80560.00,81017.35,331,575.80
02-08-2021,80874.95,81300.00,80188.30,80399.20,576,"1,111.70"
30-07-2021,80148.10,81116.20,79702.05,79911.75,403,"1,414.15"
29-07-2021,79800.00,80250.00,79500.00,79660.80,403,750.00
28-07-2021,80354.85,80529.70,79200.15,79929.60,484,"1,329.55"
27-07-2021,81288.55,81384.05,79986.65,80141.20,389,"1,397.40"
26-05-2022,74975.00,75285.45,73674.45,75051.60,257,"1,611.00"
26-07-2021,81160.80,81560.05,80746.85,80876.00,211,813.20
23-07-2021,82453.10,82453.10,81000.00,81141.90,156,"1,453.10"
22-07-2021,82210.10,82402.60,81295.20,81531.35,257,"1,107.40"
20-07-2021,82250.00,82693.15,81383.85,81617.25,291,"1,309.30"
19-07-2021,81990.00,82900.00,81720.15,82222.40,1018,"1,179.85"
16-07-2021,82107.00,82600.00,81374.70,82384.25,610,"1,225.30"
15-07-2021,82999.80,83200.10,81137.85,81526.50,426,"2,062.25"
14-07-2021,83000.65,83321.30,82328.65,82800.10,860,992.65
13-07-2021,80378.85,83400.00,80124.20,83134.85,2795,"3,275.80"
12-07-2021,79991.00,80567.80,79901.05,80191.45,1029,666.75
25-05-2022,74569.35,75372.35,73554.90,74818.10,173,"1,817.45"
09-07-2021,80455.85,80663.10,79865.00,79980.25,806,798.10
08-07-2021,81200.00,81267.95,80117.85,80419.55,261,"1,150.10"
07-07-2021,80450.05,81300.00,80441.50,80749.55,449,858.50
06-07-2021,80950.15,81300.00,80321.00,80425.05,406,979.00
05-07-2021,81200.00,81755.15,80610.15,80857.25,450,"1,145.00"
02-07-2021,81000.00,81499.95,80590.05,81150.95,277,909.90
01-07-2021,80375.55,81449.70,80191.90,80987.50,271,"1,257.80"
30-06-2021,80205.00,80656.00,79821.25,80057.40,581,834.75
29-06-2021,80493.55,80793.70,79547.00,80204.05,695,"1,246.70"
28-06-2021,80998.95,81050.00,79917.30,80544.75,808,"1,132.70"
24-05-2022,74649.70,74649.70,73138.30,74337.15,301,"1,511.40"
25-06-2021,81101.05,81330.05,80379.95,80515.25,469,950.10
24-06-2021,81890.00,82153.85,80610.65,80971.75,809,"1,543.20"
23-06-2021,82050.00,82450.00,81802.65,81973.95,6189,647.35
22-06-2021,82250.00,82394.00,81502.35,81803.90,384,891.65
21-06-2021,81000.00,82200.00,81000.00,81761.35,480,"1,200.00"
18-06-2021,82681.45,83078.85,80501.35,82692.05,1499,"2,577.50"
17-06-2021,82300.00,83300.00,81813.20,82681.45,440,"1,486.80"
16-06-2021,82989.95,83140.75,82414.00,82524.00,329,726.75
15-06-2021,82500.00,83300.90,81923.00,82848.60,6745,"1,377.90"
14-06-2021,82000.00,83000.00,81325.85,82496.15,496,"1,674.15"
23-05-2022,74767.60,75075.40,73102.60,73366.15,198,"1,972.80"
11-06-2021,82500.00,82852.55,81358.25,82143.55,1162,"1,494.30"
10-06-2021,81290.00,82318.00,80023.65,82191.50,882,"2,294.35"
09-06-2021,81416.20,81896.55,80001.00,80213.85,1284,"1,895.55"
08-06-2021,83099.95,83099.95,81200.00,81351.50,1066,"1,899.95"
07-06-2021,85070.05,87243.05,82000.00,82391.75,4660,"5,243.05"
04-06-2021,85255.85,85321.30,84293.60,84929.50,421,"1,027.70"
03-06-2021,84750.50,85099.50,83869.70,84459.30,486,"1,229.80"
02-06-2021,83649.95,84720.05,83000.00,84391.60,806,"1,720.05"
01-06-2021,83927.85,84681.00,82780.45,83207.10,717,"1,900.55"
31-05-2021,83174.65,83939.45,83000.20,83632.45,458,939.25
20-05-2022,73750.00,74648.20,73275.15,74067.60,624,"1,373.05"
28-05-2021,82714.05,83600.00,82714.05,83349.00,653,885.95
27-05-2021,81693.00,83188.65,81332.00,82831.40,1085,"1,856.65"
26-05-2021,82774.95,82782.40,81412.60,81630.85,648,"1,369.80"
25-05-2021,82949.95,83060.30,81825.60,82179.35,942,"1,234.70"
24-05-2021,82047.05,83252.00,82000.90,82582.50,1217,"1,251.10"
21-05-2021,81100.00,82400.00,81100.00,82192.70,1827,"1,300.00"
20-05-2021,79850.45,82443.55,79286.15,81434.25,1433,"3,157.40"
